seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr7	24612701	24612740	40	*	X213	51678	24613085	24727498	114414	+	344	upstream	344	MPP6
chr7	69062326	69062345	20	*	X224	26053	69063905	70257885	1193981	+	1559	upstream	1559	AUTS2
chr7	82073490	82073595	106	*	X228	781	81579418	82073031	493614	-	458	upstream	458	CACNA2D1
chr7	82073607	82073647	41	*	X229	781	81579418	82073031	493614	-	575	upstream	575	CACNA2D1
chr7	113726176	113726386	211	*	X234	93986	113726365	114333827	607463	+	0	overlapStart	0	FOXP2
chr7	113726435	113726477	43	*	X235	93986	113726365	114333827	607463	+	0	inside	69	FOXP2
chr7	120628649	120628895	247	*	X236	79974	120628751	120937498	308748	+	0	overlapStart	0	CPED1
chr7	137531659	137531895	237	*	X237	9162	137074385	137531609	457225	-	49	upstream	49	DGKI
chr7	150865268	150865451	184	*	X239	2636	150845676	150864867	19192	-	400	upstream	400	GBX1
chr7	154862937	154863105	169	*	X240	100128264	154858779	154863267	4489	-	0	inside	161	HTR5A-AS1
chr7	154863118	154863168	51	*	X241	100128264	154858779	154863267	4489	-	0	inside	98	HTR5A-AS1
chr8	17013389	17013405	17	*	X244	51201	17013836	17080241	66406	+	430	upstream	430	ZDHHC2
chr8	17013425	17013467	43	*	X245	51201	17013836	17080241	66406	+	368	upstream	368	ZDHHC2
chr8	56791375	56791466	92	*	X249	4067	56792386	56925006	132621	+	919	upstream	919	LYN
chr8	56791484	56791499	16	*	X250	4067	56792386	56925006	132621	+	886	upstream	886	LYN
chr8	56791521	56791650	130	*	X251	4067	56792386	56925006	132621	+	735	upstream	735	LYN
chr8	68864027	68864191	165	*	X252	80243	68864603	69143897	279295	+	411	upstream	411	PREX2
chr8	72274208	72274373	166	*	X254	2138	72109668	72274467	164800	-	0	inside	93	EYA1
chr8	99439010	99439053	44	*	X261	3788	99439250	99443023	3774	+	196	upstream	196	KCNS2
chr8	106331276	106331367	92	*	X264	23414	106331147	106816767	485621	+	0	inside	128	ZFPM2
chr8	106331381	106331402	22	*	X265	23414	106331147	106816767	485621	+	0	inside	233	ZFPM2
chr8	106331414	106331520	107	*	X266	23414	106331147	106816767	485621	+	0	inside	266	ZFPM2
chr8	107282132	107282419	288	*	X269	55074	107282406	107764921	482516	+	0	overlapStart	0	OXR1
chr8	110704252	110704268	17	*	X271	55638	110586405	110704020	117616	-	231	upstream	231	SYBU
chr8	110704300	110704315	16	*	X272	55638	110586405	110704020	117616	-	279	upstream	279	SYBU
chr8	110987786	110987821	36	*	X273	27012	110979233	110988076	8844	-	0	inside	254	KCNV1
chr8	121824310	121824389	80	*	X275	6641	121547985	121824309	276325	-	0	upstream	0	SNTB1
chr8	121824530	121824543	14	*	X276	6641	121547985	121824309	276325	-	220	upstream	220	SNTB1
chr8	121824612	121824638	27	*	X277	6641	121547985	121824309	276325	-	302	upstream	302	SNTB1
chr8	122651459	122651613	155	*	X278	594842	122651586	122657564	5979	+	0	overlapStart	0	HAS2-AS1
chr8	122651853	122652474	622	*	X279	594842	122651586	122657564	5979	+	0	inside	266	HAS2-AS1
chr8	133687760	133687761	2	*	X280	23639	133584201	133687863	103663	-	0	inside	101	LRRC6
chr9	21559156	21559693	538	*	X288	554202	21454267	21559697	105431	-	0	inside	3	MIR31HG
chr9	79521530	79521600	71	*	X296	158471	79226292	79521003	294712	-	526	upstream	526	PRUNE2
chr9	94712116	94712215	100	*	X302	4920	94325373	94712444	387072	-	0	inside	228	ROR2
chr9	103790898	103791042	145	*	X303	54886	103791031	104087417	296387	+	0	overlapStart	0	PLPPR1
chr9	115652953	115653096	144	*	X305	57864	115641200	115653193	11994	-	0	inside	96	SLC46A2
chr9	115653368	115653416	49	*	X306	57864	115641200	115653193	11994	-	174	upstream	174	SLC46A2
chr10	7453142	7453198	57	*	X312	57713	7200586	7453448	252863	-	0	inside	249	SFMBT2
chr10	21816060	21816069	10	*	X313	387640	21802409	21814611	12203	-	1448	upstream	1448	SKIDA1
chr10	90967526	90967638	113	*	X317	9023	90965694	90967071	1378	-	454	upstream	454	CH25H
chr10	112403580	112403642	63	*	X323	282996	112404155	112599227	195073	+	512	upstream	512	RBM20
chr10	112403664	112403815	152	*	X324	282996	112404155	112599227	195073	+	339	upstream	339	RBM20
chr11	57227255	57227595	341	*	X332	349667	57228339	57244384	16046	+	743	upstream	743	RTN4RL2
chr11	67351265	67351287	23	*	X337	2950	67351066	67354124	3059	+	0	inside	198	GSTP1
chr11	74952144	74952155	12	*	X340	100507050	74951950	74954749	2800	+	0	inside	193	TPBGL
chr11	75379702	75379789	88	*	X342	4135	75297963	75379479	81517	-	222	upstream	222	MAP6
chr11	100999561	100999619	59	*	X343	101054525	100999808	101069639	69832	+	188	upstream	188	PGR-AS1
chr11	100999635	100999877	243	*	X344	101054525	100999808	101069639	69832	+	0	overlapStart	0	PGR-AS1
chr11	106889388	106889510	123	*	X345	2977	106544738	106889171	344434	-	216	upstream	216	GUCY1A2
chr11	106889838	106889989	152	*	X346	2977	106544738	106889171	344434	-	666	upstream	666	GUCY1A2
chr11	112831922	112832301	380	*	X347	4684	112831969	113149158	317190	+	0	overlapStart	0	NCAM1
chr11	113930360	113930363	4	*	X348	7704	113930431	114121397	190967	+	67	upstream	67	ZBTB16
chr12	20521051	20521094	44	*	X353	5139	20522179	20837041	314863	+	1084	upstream	1084	PDE3A
chr12	24716081	24716187	107	*	X355	6660	23685231	24715383	1030153	-	697	upstream	697	SOX5
chr12	26277837	26277960	124	*	X356	79365	26272959	26278003	5045	-	0	inside	42	BHLHE41
chr12	54942887	54943332	446	*	X361	5153	54943177	54973023	29847	+	0	overlapStart	0	PDE1B
chr12	71833306	71833343	38	*	X371	8549	71833550	71980088	146539	+	206	upstream	206	LGR5
chr12	71833362	71833474	113	*	X372	8549	71833550	71980088	146539	+	75	upstream	75	LGR5
chr12	72667531	72667600	70	*	X373	283392	72656327	72667289	10963	-	241	upstream	241	TRHDE-AS1
chr12	109746960	109747132	173	*	X376	121643	109715783	109747025	31243	-	0	overlapStart	0	FOXN4
chr12	109747273	109747295	23	*	X377	121643	109715783	109747025	31243	-	247	upstream	247	FOXN4
chr12	109747411	109747427	17	*	X378	121643	109715783	109747025	31243	-	385	upstream	385	FOXN4
chr13	22245082	22245116	35	*	X380	2254	22245215	22278640	33426	+	98	upstream	98	FGF9
chr13	22245331	22245338	8	*	X381	2254	22245215	22278640	33426	+	0	inside	115	FGF9
chr13	28366571	28366789	219	*	X383	219409	28366780	28368089	1310	+	0	overlapStart	0	GSX1
chr14	25519012	25519176	165	*	X389	29091	25281306	25519171	237866	-	0	overlapStart	0	STXBP6
chr14	25519194	25519449	256	*	X390	29091	25281306	25519171	237866	-	22	upstream	22	STXBP6
chr14	25519500	25519503	4	*	X391	29091	25281306	25519171	237866	-	328	upstream	328	STXBP6
chr14	33407661	33407751	91	*	X392	64067	33408459	34273382	864924	+	707	upstream	707	NPAS3
chr14	36002668	36002764	97	*	X393	84684	36003248	36006260	3013	+	483	upstream	483	INSM2
chr14	56585116	56585151	36	*	X395	57161	56585093	56768031	182939	+	0	inside	22	PELI2
chr14	56585173	56585187	15	*	X396	57161	56585093	56768031	182939	+	0	inside	79	PELI2
chr14	65347466	65347476	11	*	X397	6710	65213001	65346601	133601	-	864	upstream	864	SPTB
chr14	65347495	65347506	12	*	X398	6710	65213001	65346601	133601	-	893	upstream	893	SPTB
chr15	79383192	79383206	15	*	X412	5923	79252289	79383215	130927	-	0	inside	8	RASGRF1
chr15	79383328	79383342	15	*	X413	5923	79252289	79383215	130927	-	112	upstream	112	RASGRF1
chr15	79575994	79576044	51	*	X414	729911	79484049	79576287	92239	-	0	inside	242	ANKRD34C-AS1
chr15	79576144	79576320	177	*	X415	729911	79484049	79576287	92239	-	0	overlapStart	0	ANKRD34C-AS1
chr16	23313389	23313479	91	*	X428	6338	23313591	23392620	79030	+	111	upstream	111	SCNN1B
chr16	23313515	23313568	54	*	X429	6338	23313591	23392620	79030	+	22	upstream	22	SCNN1B
chr16	23313581	23313597	17	*	X430	6338	23313591	23392620	79030	+	0	overlapStart	0	SCNN1B
chr16	23313670	23313745	76	*	X431	6338	23313591	23392620	79030	+	0	inside	78	SCNN1B
chr17	7554325	7554361	37	*	X438	482	7554254	7561089	6836	+	0	inside	70	ATP1B2
chr17	46703955	46704182	228	*	X439	3219	46698519	46703835	5317	-	119	upstream	119	HOXB9
chr17	46704213	46704224	12	*	X440	3219	46698519	46703835	5317	-	377	upstream	377	HOXB9
chr17	46704241	46704257	17	*	X441	3219	46698519	46703835	5317	-	405	upstream	405	HOXB9
chr17	56833057	56833339	283	*	X445	22843	56833230	57062540	229311	+	0	overlapStart	0	PPM1E
chr17	68164818	68164837	20	*	X449	3759	68164814	68176183	11370	+	0	inside	3	KCNJ2
chr17	68164949	68164965	17	*	X450	3759	68164814	68176183	11370	+	0	inside	134	KCNJ2
chr17	72199594	72199630	37	*	X454	6169	72199795	72206019	6225	+	164	upstream	164	RPL38
chr17	72667205	72667542	338	*	X455	326624	72667256	72743474	76219	+	0	overlapStart	0	RAB37
chr18	31804698	31804783	86	*	X458	8715	31431064	31803515	372452	-	1182	upstream	1182	NOL4
chr18	32556987	32556987	1	*	X459	10982	32556892	32723432	166541	+	0	inside	94	MAPRE2
chr18	32557005	32557071	67	*	X460	10982	32556892	32723432	166541	+	0	inside	112	MAPRE2
chr19	10515497	10515560	64	*	X463	100302213	10514134	10514214	81	-	1282	upstream	1282	MIR1181
chr19	10515497	10515560	64	*	X463	11140	10501809	10514271	12463	-	1225	upstream	1225	CDC37
chr19	10515594	10515616	23	*	X464	100302213	10514134	10514214	81	-	1379	upstream	1379	MIR1181
chr19	10515594	10515616	23	*	X464	11140	10501809	10514271	12463	-	1322	upstream	1322	CDC37
chr19	18061409	18061471	63	*	X467	3780	18062111	18109930	47820	+	639	upstream	639	KCNN1
chr19	42817630	42817774	145	*	X468	284339	42817477	42829214	11738	+	0	inside	152	TMEM145
chr19	52074247	52074473	227	*	X473	7728	52074531	52092991	18461	+	57	upstream	57	ZNF175
chr20	5892245	5892302	58	*	X475	1114	5891974	5906005	14032	+	0	inside	270	CHGB
chr20	13202545	13202574	30	*	X476	140862	13202418	13281297	78880	+	0	inside	126	ISM1
chr20	55841959	55841974	16	*	X482	655	55743809	55841707	97899	-	251	upstream	251	BMP7
chr20	55842079	55842115	37	*	X483	655	55743809	55841707	97899	-	371	upstream	371	BMP7
chr20	57874884	57874894	11	*	X484	1908	57875499	57901047	25549	+	604	upstream	604	EDN3
chr20	61147858	61148018	161	*	X485	128826	61147660	61167971	20312	+	0	inside	197	MIR1-1HG
chr21	18985066	18985221	156	*	X489	10950	18965968	18985268	19301	-	0	inside	46	BTG3
chr21	27011432	27011574	143	*	X490	58494	27011594	27089874	78281	+	19	upstream	19	JAM2
chr21	28217579	28217953	375	*	X491	9510	28208606	28217728	9123	-	0	overlapStart	0	ADAMTS1
chr21	43187433	43187494	62	*	X493	54101	43159529	43187249	27721	-	183	upstream	183	RIPK4
chr21	43187508	43187539	32	*	X494	54101	43159529	43187249	27721	-	258	upstream	258	RIPK4
chrX	105855238	105855286	49	*	X498	55086	105855160	105922673	67514	+	0	inside	77	RADX
